time/fps,time/process,time/physics_process,memory/static,memory/static_max,memory/msg_buf_max,object/objects,object/resources,object/nodes,object/orphan_nodes,raster/total_objects_drawn,raster/total_primitives_drawn,raster/total_draw_calls,video/video_mem,video/texture_mem,video/buffer_mem,physics_2d/active_objects,physics_2d/collision_pairs,physics_2d/islands,physics_3d/active_objects,physics_3d/collision_pairs,physics_3d/islands,audio/driver/output_latency
109.0,0.015565,0.002393,66768312.0,93620680.0,6696.0,2034.0,246.0,326.0,5.0,0.0,0.0,0.0,126400016.0,64575488.0,1780588.0,15.0,278.0,173.0,0.0,0.0,0.0,0.01
104.0,0.016671,0.001563,66769032.0,93620680.0,6696.0,2034.0,246.0,326.0,5.0,0.0,0.0,0.0,126400016.0,64575488.0,1780588.0,15.0,283.0,178.0,0.0,0.0,0.0,0.01
102.0,0.016449,0.00284,67557688.0,93620680.0,6696.0,2049.0,246.0,330.0,5.0,0.0,0.0,0.0,137580048.0,75755520.0,1780588.0,16.0,403.0,280.0,0.0,0.0,0.0,0.01
98.0,0.023951,0.002726,67301480.0,93620680.0,6696.0,2002.0,246.0,298.0,5.0,0.0,0.0,0.0,137579280.0,75755520.0,1780444.0,15.0,378.0,258.0,0.0,0.0,0.0,0.01
100.0,0.016342,0.002578,67324672.0,93620680.0,6696.0,2003.0,246.0,298.0,5.0,0.0,0.0,0.0,137578512.0,75755520.0,1780300.0,14.0,349.0,228.0,0.0,0.0,0.0,0.01
106.0,0.016914,0.001761,67564944.0,93620680.0,6696.0,2043.0,246.0,330.0,4.0,0.0,0.0,0.0,137580048.0,75755520.0,1780588.0,15.0,368.0,263.0,0.0,0.0,0.0,0.01
110.0,0.015304,0.007968,67617840.0,93620680.0,6696.0,2043.0,246.0,330.0,4.0,0.0,0.0,0.0,137580048.0,75755520.0,1780588.0,15.0,368.0,263.0,0.0,0.0,0.0,0.01
101.0,0.016605,0.001357,67615432.0,93620680.0,6696.0,2043.0,246.0,330.0,4.0,0.0,0.0,0.0,137580048.0,75755520.0,1780588.0,15.0,367.0,262.0,0.0,0.0,0.0,0.01
102.0,0.016153,0.00122,67615096.0,93620680.0,6696.0,2043.0,246.0,330.0,4.0,0.0,0.0,0.0,137580048.0,75755520.0,1780588.0,15.0,371.0,266.0,0.0,0.0,0.0,0.01
102.0,0.016963,0.001448,68496176.0,93620680.0,6696.0,2192.0,246.0,430.0,6.0,0.0,0.0,0.0,137583888.0,75755520.0,1781308.0,21.0,586.0,457.0,0.0,0.0,0.0,0.01
93.0,0.016073,0.00353,68462160.0,93620680.0,6696.0,2174.0,246.0,420.0,6.0,0.0,0.0,0.0,137583120.0,75755520.0,1781164.0,21.0,542.0,416.0,0.0,0.0,0.0,0.01
88.0,0.015051,0.002332,68213248.0,93620680.0,6696.0,2119.0,246.0,380.0,6.0,0.0,0.0,0.0,137581584.0,75755520.0,1780876.0,17.0,468.0,344.0,0.0,0.0,0.0,0.01
